,A1112Amp,A1112Dist,A14Amp,A14Dist,A15Amp,A15Dist,A16Amp,A16Dist,2004Class
757,1.2,144.48503270329255,5.0,97.95484770451591,,,,,  9
758,0.9,2699.782959294842,2.0,2608.956222497297,,,,, 29
760,1.25,2614.2755280251704,4.75,2479.4244849348515,,,,, 25
761,1.0,1516.1782775925071,3.0,1380.8120552384742,,,,, 27
763,1.0,1007.5612677650595,4.0,871.8500322841985,,,,, 26
766,2.0,719.4627676070183,5.5,804.5218798966646,,,,,  8
768,1.25,1097.267878756044,4.0,1162.2868938358101,,,,, 10
785,2.25,1097.267878756044,7.0,1162.2868938358101,,,,, 10
792,2.25,728.6846062323378,8.0,856.7286069479853,,,,, 13
796,1.15,1838.5458791312662,4.25,1692.4027018140391,,,,, 18
797,1.25,1007.5612677650595,3.5,871.8500322841985,,,,, 26
801,1.5,2121.004106107566,5.5,1965.9652285646257,,,,, 22
802,1.0,1685.9195414826968,4.0,1505.8235142486103,,,,,100
803,3.25,549.8567450287387,11.0,677.3216861147707,,,,,  1
805,1.5,1239.6973469641177,4.25,1292.5138782668178,,,,, 86
809,1.25,2549.7195740642705,4.5,2435.240597670518,,,,,  6
810,1.0,549.8567450287387,3.25,677.3216861147707,,,,,  1
811,0.5,1685.9195414826968,2.5,1505.8235142486103,,,,,100
812,1.0,2402.414942824976,4.0,2250.0363035603627,,,,,  7
813,1.0,1006.0717324490676,2.5,1102.554149181838,,,,, 14
816,1.25,1551.407079422076,2.0,1424.9357367665345,,,,,238
817,1.25,2121.004106107566,2.0,1965.9652285646257,,,,, 22
819,4.0,549.8567450287387,14.5,677.3216861147707,,,,,  1
825,1.25,882.1895830961158,2.25,701.7183193616429,,,,,236
826,1.0,2426.365368873623,3.0,2283.365268110137,,,,, 64
827,1.0,2549.7195740642705,3.0,2435.240597670518,,,,,  6
830,2.55,549.8567450287387,8.5,677.3216861147707,,,,,  1
831,1.2,842.088174386005,3.5,924.3137333541894,,,,, 20
835,1.75,814.1764179317533,5.0,994.2666079393877,,,,,  3
838,1.55,657.042375149394,7.5,837.7553177250604,,,,,  5
839,1.1,1258.687624261008,2.85,1179.9082713957582,,,,,201
857,2.2,2614.2755280251704,8.0,2479.4244849348515,,,,, 25
862,1.0,728.6846062323378,2.9,856.7286069479853,,,,, 13
865,1.4,144.48503270329255,3.5,97.95484770451591,,,,,  9
868,1.05,1074.3728928151183,3.25,912.5748282346112,,,,, 28
869,1.3,1516.1782775925071,6.25,1380.8120552384742,,,,, 27
874,1.1,1097.267878756044,3.5,1162.2868938358101,,,,, 10
876,1.5,719.4627676070183,3.0,804.5218798966646,,,,,  8
877,2.5,1239.6973469641177,3.0,1292.5138782668178,,,,, 86
878,1.3,719.4627676070183,2.2,804.5218798966646,,,,,  8
879,1.1,1097.267878756044,2.0,1162.2868938358101,,,,, 10
880,3.45,719.4627676070183,7.0,804.5218798966646,,,,,  8
884,1.5,1838.5458791312662,5.75,1692.4027018140391,,,,, 18
893,1.3,1450.8757101672234,2.55,1285.1029044685938,,,,, 99
894,1.35,1291.2085230449711,4.05,1126.710784742059,,,,, 11
903,1.5,1097.267878756044,5.5,1162.2868938358101,,,,, 10
906,1.0,719.4627676070183,2.25,804.5218798966646,,,,,  8
924,1.1,1838.5458791312662,6.0,1692.4027018140391,,,,, 18
925,1.75,728.6846062323378,6.5,856.7286069479853,,,,, 13
930,1.25,2121.004106107566,5.0,1965.9652285646257,,,,, 22
932,1.5,1291.2085230449711,4.0,1126.710784742059,,,,, 11
934,1.0,1742.0206130800386,3.25,1640.717526253977,,,,,234
940,2.25,549.8567450287387,8.5,677.3216861147707,,,,,  1
949,0.5,804.4652290187958,3.25,630.6615097858523,,,,,202
958,1.0,2045.389903389427,2.5,1871.5801342738303,,,,, 38
964,1.0,2549.7195740642705,3.0,2435.240597670518,,,,,  6
970,2.75,549.8567450287387,7.75,677.3216861147707,,,,,  1
987,2.0,549.8567450287387,8.25,677.3216861147707,,,,,  1
991,1.25,1511.2982351831854,2.25,1691.2321681991211,,,,,218
998,0.75,657.042375149394,3.25,837.7553177250604,,,,,  5
1000,1.0,1258.687624261008,3.0,1179.9082713957582,,,,,201
1007,1.0,1097.267878756044,3.25,1162.2868938358101,,,,, 10
1028,1.5,144.48503270329255,4.5,97.95484770451591,,,,,  9
1035,1.5,2614.2755280251704,6.0,2479.4244849348515,,,,, 25
1051,1.0,144.48503270329255,3.5,97.95484770451591,,,,,  9
1061,1.1,1097.267878756044,3.0,1162.2868938358101,,,,, 10
1063,1.5,1097.267878756044,4.5,1162.2868938358101,,,,, 10
1065,3.25,719.4627676070183,9.0,804.5218798966646,,,,,  8
1066,1.0,1097.267878756044,3.0,1162.2868938358101,,,,, 10
1070,1.0,1097.267878756044,1.75,1162.2868938358101,,,,, 10
1075,1.0,1257.2885269557758,3.0,1076.4472232136006,,,,, 97
1088,1.6,1097.267878756044,6.0,1162.2868938358101,,,,, 10
1090,1.5,1685.9195414826968,1.75,1505.8235142486103,,,,,100
1091,1.6,2549.7195740642705,2.5,2435.240597670518,,,,,  6
1092,1.1,899.4630727618554,3.0,1073.8939780272624,,,,, 49
1093,1.0,1463.6415162214696,3.75,1600.7876527494843,,,,,204
1094,1.1,1838.5458791312662,3.5,1692.4027018140391,,,,, 18
1098,1.5,1007.5612677650595,3.75,871.8500322841985,,,,, 26
1113,1.5,2045.389903389427,3.75,1871.5801342738303,,,,, 38
1115,1.25,1007.1976220778375,4.0,844.3713903456506,,,,,243
1116,1.9,1838.5458791312662,7.5,1692.4027018140391,,,,, 18
1117,1.0,864.1274638566041,3.5,891.7079727960524,,,,, 17
1118,1.25,842.088174386005,3.75,924.3137333541894,,,,, 20
1119,1.4,2121.004106107566,6.0,1965.9652285646257,,,,, 22
1120,1.75,549.8567450287387,7.0,677.3216861147707,,,,,  1
1122,1.4,549.8567450287387,3.4,677.3216861147707,,,,,  1
1130,1.75,1006.0717324490676,4.25,1102.554149181838,,,,, 14
1131,2.05,549.8567450287387,7.0,677.3216861147707,,,,,  1
1132,1.05,2549.7195740642705,3.5,2435.240597670518,,,,,  6
1143,1.0,1258.687624261008,3.25,1179.9082713957582,,,,,201
1157,1.0,1685.9195414826968,3.0,1505.8235142486103,,,,,100
1161,1.5,144.48503270329255,4.25,97.95484770451591,,,,,  9
1162,0.75,1097.267878756044,2.75,1162.2868938358101,,,,, 10
1168,1.25,2614.2755280251704,3.75,2479.4244849348515,,,,, 25
1180,1.4,144.48503270329255,4.0,97.95484770451591,,,,,  9
1181,0.65,2143.051202602794,2.25,1994.1242089447417,,,,, 32
1186,0.75,954.3050495410989,3.25,794.8518173976855,,,,, 16
1193,1.0,719.4627676070183,3.0,804.5218798966646,,,,,  8
1196,0.5,719.4627676070183,2.5,804.5218798966646,,,,,  8
1197,0.75,1097.267878756044,2.5,1162.2868938358101,,,,, 10
1198,1.5,1097.267878756044,5.5,1162.2868938358101,,,,, 10
1200,1.0,1257.2885269557758,2.0,1076.4472232136006,,,,, 97
1203,1.0,719.4627676070183,3.0,804.5218798966646,,,,,  8
1204,1.0,328.13272611267104,3.25,328.4312868068123,,,,,216
1209,1.0,1511.2982351831854,2.5,1691.2321681991211,,,,,218
1236,0.5,2402.414942824976,2.5,2250.0363035603627,,,,,  7
1242,1.0,1838.5458791312662,2.75,1692.4027018140391,,,,, 18
1244,1.0,934.3114544532666,2.5,1082.755867275467,,,,, 21
1248,0.75,1463.6415162214696,3.0,1600.7876527494843,,,,,204
1255,0.5,2520.9520230241747,3.0,2386.1065756527755,,,,,244
1257,1.5,549.8567450287387,6.0,677.3216861147707,,,,,  1
1259,1.75,1006.0717324490676,4.0,1102.554149181838,,,,, 14
1292,1.0,1258.687624261008,3.0,1179.9082713957582,,,,,201
1299,1.0,2699.782959294842,2.5,2608.956222497297,,,,, 29
1310,1.0,144.48503270329255,3.0,97.95484770451591,,,,,  9
1313,0.5,602.3600742192931,3.0,739.0719914272335,,,,, 30
1325,1.0,144.48503270329255,2.5,97.95484770451591,,,,,  9
1337,1.0,954.3050495410989,4.0,794.8518173976855,,,,, 16
1340,0.75,653.30675738881,1.6,570.2061076093618,,,,, 39
1346,1.0,2426.365368873623,2.0,2283.365268110137,,,,, 64
1347,1.5,1097.267878756044,5.0,1162.2868938358101,,,,, 10
1351,0.75,1838.5458791312662,1.8,1692.4027018140391,,,,, 18
1352,1.0,842.088174386005,2.2,924.3137333541894,,,,, 20
1357,1.0,328.13272611267104,3.0,328.4312868068123,,,,,216
1362,0.9,1463.6415162214696,2.0,1600.7876527494843,,,,,204
1376,1.0,2402.414942824976,4.5,2250.0363035603627,,,,,  7
1378,1.0,1838.5458791312662,3.0,1692.4027018140391,,,,, 18
1380,1.0,1838.5458791312662,4.0,1692.4027018140391,,,,, 18
1385,2.0,549.8567450287387,10.0,677.3216861147707,,,,,  1
1391,1.0,657.042375149394,2.5,837.7553177250604,,,,,  5
1393,1.0,1838.5458791312662,3.5,1692.4027018140391,,,,, 18
1407,1.05,1463.6415162214696,3.0,1600.7876527494843,,,,,204
1415,2.5,549.8567450287387,9.0,677.3216861147707,,,,,  1
1417,1.8,1006.0717324490676,3.0,1102.554149181838,,,,, 14
1424,1.0,814.1764179317533,2.2,994.2666079393877,,,,,  3
1445,1.0,144.48503270329255,2.5,97.95484770451591,,,,,  9
1457,0.5,719.4627676070183,1.2,804.5218798966646,,,,,  8
1458,1.0,144.48503270329255,2.8,97.95484770451591,,,,,  9
1476,1.0,954.3050495410989,4.0,794.8518173976855,,,,, 16
