,A1112Amp,A1112Dist,A14Amp,A14Dist,A15Amp,A15Dist,A16Amp,A16Dist,2004Class
757,1.2,1041.0517511100472,5.0,1038.8660552182653,,,,,  9
758,0.9,1848.3258610224625,2.0,1815.6828612027005,,,,, 29
760,1.25,1868.980093986746,4.75,1809.7652698140805,,,,, 25
761,1.0,1409.7045523994987,3.0,1362.6065376695578,,,,, 27
763,1.0,1268.325516080846,4.0,1234.008885866761,,,,, 26
766,2.0,1170.9718024414428,5.5,1190.8566855711979,,,,,  8
768,1.25,1216.365285980001,4.0,1240.319766827933,,,,, 10
785,2.25,1216.365285980001,7.0,1240.319766827933,,,,, 10
792,2.25,1084.988382527184,8.0,1123.970605051556,,,,, 13
796,1.15,1514.6089383157887,4.25,1446.5434140342634,,,,, 18
797,1.25,1268.325516080846,3.5,1234.008885866761,,,,, 26
801,1.5,1669.7516310681183,5.5,1586.4065298954129,,,,, 22
802,1.0,1442.5763323094827,4.0,1359.1589338807314,,,,,100
803,3.25,949.7916991414554,11.0,989.3076197735427,,,,,  1
809,1.25,1870.014156709378,4.5,1815.1210692352513,,,,,  6
810,1.0,949.7916991414554,3.25,989.3076197735427,,,,,  1
811,0.5,1442.5763323094827,2.5,1359.1589338807314,,,,,100
812,1.0,1783.9237878951758,4.0,1712.3894758905408,,,,,  7
816,1.25,1365.852711818084,2.0,1301.0056776028398,,,,,238
817,1.25,1669.7516310681183,2.0,1586.4065298954129,,,,, 22
819,4.0,949.7916991414554,14.5,989.3076197735427,,,,,  1
826,1.0,1772.0380666063743,3.0,1710.9726131477166,,,,, 64
827,1.0,1870.014156709378,3.0,1815.1210692352513,,,,,  6
830,2.55,949.7916991414554,8.5,989.3076197735427,,,,,  1
831,1.2,1100.5369679217902,3.5,1128.9822561429787,,,,, 20
835,1.75,1091.3950434094083,5.0,1154.4325948215505,,,,,  3
839,1.1,1228.2194962666015,2.85,1191.4342870106414,,,,,201
857,2.2,1868.980093986746,8.0,1809.7652698140805,,,,, 25
862,1.0,1084.988382527184,2.9,1123.970605051556,,,,, 13
865,1.4,1041.0517511100472,3.5,1038.8660552182653,,,,,  9
869,1.3,1409.7045523994987,6.25,1362.6065376695578,,,,, 27
874,1.1,1216.365285980001,3.5,1240.319766827933,,,,, 10
876,1.5,1170.9718024414428,3.0,1190.8566855711979,,,,,  8
878,1.3,1170.9718024414428,2.2,1190.8566855711979,,,,,  8
879,1.1,1216.365285980001,2.0,1240.319766827933,,,,, 10
880,3.45,1170.9718024414428,7.0,1190.8566855711979,,,,,  8
884,1.5,1514.6089383157887,5.75,1446.5434140342634,,,,, 18
893,1.3,1353.890256508696,2.55,1287.4203518749948,,,,, 99
894,1.35,1383.1350924655385,4.05,1340.574717701384,,,,, 11
903,1.5,1216.365285980001,5.5,1240.319766827933,,,,, 10
906,1.0,1170.9718024414428,2.25,1190.8566855711979,,,,,  8
924,1.1,1514.6089383157887,6.0,1446.5434140342634,,,,, 18
925,1.75,1084.988382527184,6.5,1123.970605051556,,,,, 13
930,1.25,1669.7516310681183,5.0,1586.4065298954129,,,,, 22
932,1.5,1383.1350924655385,4.0,1340.574717701384,,,,, 11
934,1.0,1478.8722177988748,3.25,1436.935419659339,,,,,234
940,2.25,949.7916991414554,8.5,989.3076197735427,,,,,  1
949,0.5,1069.483080042093,3.25,1014.7711928454409,,,,,202
958,1.0,1604.8130659095275,2.5,1534.238201882201,,,,, 38
964,1.0,1870.014156709378,3.0,1815.1210692352513,,,,,  6
970,2.75,949.7916991414554,7.75,989.3076197735427,,,,,  1
987,2.0,949.7916991414554,8.25,989.3076197735427,,,,,  1
991,1.25,1352.922514838855,2.25,1441.0010594994503,,,,,218
1000,1.0,1228.2194962666015,3.0,1191.4342870106414,,,,,201
1007,1.0,1216.365285980001,3.25,1240.319766827933,,,,, 10
1028,1.5,1041.0517511100472,4.5,1038.8660552182653,,,,,  9
1035,1.5,1868.980093986746,6.0,1809.7652698140805,,,,, 25
1051,1.0,1041.0517511100472,3.5,1038.8660552182653,,,,,  9
1061,1.1,1216.365285980001,3.0,1240.319766827933,,,,, 10
1063,1.5,1216.365285980001,4.5,1240.319766827933,,,,, 10
1065,3.25,1170.9718024414428,9.0,1190.8566855711979,,,,,  8
1066,1.0,1216.365285980001,3.0,1240.319766827933,,,,, 10
1070,1.0,1216.365285980001,1.75,1240.319766827933,,,,, 10
1075,1.0,1276.472997208908,3.0,1208.7777320400826,,,,, 97
1088,1.6,1216.365285980001,6.0,1240.319766827933,,,,, 10
1090,1.5,1442.5763323094827,1.75,1359.1589338807314,,,,,100
1091,1.6,1870.014156709378,2.5,1815.1210692352513,,,,,  6
1092,1.1,1124.2350688820288,3.0,1187.9080342434613,,,,, 49
1094,1.1,1514.6089383157887,3.5,1446.5434140342634,,,,, 18
1098,1.5,1268.325516080846,3.75,1234.008885866761,,,,, 26
1113,1.5,1604.8130659095275,3.75,1534.238201882201,,,,, 38
1115,1.25,1202.5217589968404,4.0,1152.1176029935252,,,,,243
1116,1.9,1514.6089383157887,7.5,1446.5434140342634,,,,, 18
1117,1.0,1021.9215061534438,3.5,1034.0314607341952,,,,, 17
1118,1.25,1100.5369679217902,3.75,1128.9822561429787,,,,, 20
1119,1.4,1669.7516310681183,6.0,1586.4065298954129,,,,, 22
1120,1.75,949.7916991414554,7.0,989.3076197735427,,,,,  1
1122,1.4,949.7916991414554,3.4,989.3076197735427,,,,,  1
1131,2.05,949.7916991414554,7.0,989.3076197735427,,,,,  1
1132,1.05,1870.014156709378,3.5,1815.1210692352513,,,,,  6
1143,1.0,1228.2194962666015,3.25,1191.4342870106414,,,,,201
1157,1.0,1442.5763323094827,3.0,1359.1589338807314,,,,,100
1161,1.5,1041.0517511100472,4.25,1038.8660552182653,,,,,  9
1162,0.75,1216.365285980001,2.75,1240.319766827933,,,,, 10
1168,1.25,1868.980093986746,3.75,1809.7652698140805,,,,, 25
1180,1.4,1041.0517511100472,4.0,1038.8660552182653,,,,,  9
1181,0.65,1653.8684661678456,2.25,1586.2398196116296,,,,, 32
1186,0.75,1185.5178516715323,3.25,1138.0191105346855,,,,, 16
1193,1.0,1170.9718024414428,3.0,1190.8566855711979,,,,,  8
1196,0.5,1170.9718024414428,2.5,1190.8566855711979,,,,,  8
1197,0.75,1216.365285980001,2.5,1240.319766827933,,,,, 10
1198,1.5,1216.365285980001,5.5,1240.319766827933,,,,, 10
1200,1.0,1276.472997208908,2.0,1208.7777320400826,,,,, 97
1203,1.0,1170.9718024414428,3.0,1190.8566855711979,,,,,  8
1204,1.0,802.5353428615504,3.25,802.5833444960475,,,,,216
1209,1.0,1352.922514838855,2.5,1441.0010594994503,,,,,218
1236,0.5,1783.9237878951758,2.5,1712.3894758905408,,,,,  7
1242,1.0,1514.6089383157887,2.75,1446.5434140342634,,,,, 18
1244,1.0,1191.1976552265462,2.5,1238.0722390612787,,,,, 21
1257,1.5,949.7916991414554,6.0,989.3076197735427,,,,,  1
1292,1.0,1228.2194962666015,3.0,1191.4342870106414,,,,,201
1299,1.0,1848.3258610224625,2.5,1815.6828612027005,,,,, 29
1310,1.0,1041.0517511100472,3.0,1038.8660552182653,,,,,  9
1313,0.5,1016.7786668636286,3.0,1056.790105328364,,,,, 30
1325,1.0,1041.0517511100472,2.5,1038.8660552182653,,,,,  9
1337,1.0,1185.5178516715323,4.0,1138.0191105346855,,,,, 16
1346,1.0,1772.0380666063743,2.0,1710.9726131477166,,,,, 64
1347,1.5,1216.365285980001,5.0,1240.319766827933,,,,, 10
1351,0.75,1514.6089383157887,1.8,1446.5434140342634,,,,, 18
1352,1.0,1100.5369679217902,2.2,1128.9822561429787,,,,, 20
1357,1.0,802.5353428615504,3.0,802.5833444960475,,,,,216
1376,1.0,1783.9237878951758,4.5,1712.3894758905408,,,,,  7
1378,1.0,1514.6089383157887,3.0,1446.5434140342634,,,,, 18
1380,1.0,1514.6089383157887,4.0,1446.5434140342634,,,,, 18
1385,2.0,949.7916991414554,10.0,989.3076197735427,,,,,  1
1393,1.0,1514.6089383157887,3.5,1446.5434140342634,,,,, 18
1415,2.5,949.7916991414554,9.0,989.3076197735427,,,,,  1
1424,1.0,1091.3950434094083,2.2,1154.4325948215505,,,,,  3
1445,1.0,1041.0517511100472,2.5,1038.8660552182653,,,,,  9
1457,0.5,1170.9718024414428,1.2,1190.8566855711979,,,,,  8
1458,1.0,1041.0517511100472,2.8,1038.8660552182653,,,,,  9
1476,1.0,1185.5178516715323,4.0,1138.0191105346855,,,,, 16
1496,1.0,802.5353428615504,3.0,802.5833444960475,,,,,216
1498,1.0,1604.8130659095275,3.0,1534.238201882201,,,,, 38
1499,0.5,1352.922514838855,2.2,1441.0010594994503,,,,,218
1507,1.0,1084.988382527184,5.0,1123.970605051556,,,,, 13
1508,0.9,1514.6089383157887,3.0,1446.5434140342634,,,,, 18
1510,1.0,1783.9237878951758,5.5,1712.3894758905408,,,,,  7
1511,1.0,1442.5763323094827,3.5,1359.1589338807314,,,,,100
1512,0.9,1297.1589884418477,3.0,1214.2137658622157,,,,,230
1514,1.1,1604.8130659095275,3.0,1534.238201882201,,,,, 38
1515,3.0,949.7916991414554,11.0,989.3076197735427,,,,,  1
1516,1.0,1100.5369679217902,2.5,1128.9822561429787,,,,, 20
1517,0.8,1091.3950434094083,2.0,1154.4325948215505,,,,,  3
1521,1.0,1191.1976552265462,2.8,1238.0722390612787,,,,, 21
1524,0.6,1248.2344785321368,2.2,1229.7110577780227,,,,, 36
1525,0.5,1870.014156709378,2.0,1815.1210692352513,,,,,  6
1526,1.0,1514.6089383157887,4.0,1446.5434140342634,,,,, 18
1528,0.9,1399.2238486341219,4.0,1335.247282332269,,,,,246
1530,0.9,949.7916991414554,2.8,989.3076197735427,,,,,  1
1536,0.5,1365.852711818084,2.2,1301.0056776028398,,,,,238
1537,1.0,949.7916991414554,2.5,989.3076197735427,,,,,  1
1538,0.3,1260.4620677848643,2.0,1237.4403696450352,,,,,223
1542,0.2,949.7916991414554,1.8,989.3076197735427,,,,,  1
1545,0.3,1459.857363766927,1.2,1421.4026752658374,,,,,257
1548,0.3,1772.0380666063743,1.5,1710.9726131477166,,,,, 64
1550,0.25,1554.712768991318,2.5,1494.2298460436546,,,,, 19
1572,1.0,1848.3258610224625,3.5,1815.6828612027005,,,,, 29
1573,1.0,1041.0517511100472,2.8,1038.8660552182653,,,,,  9
1575,0.5,1216.365285980001,2.2,1240.319766827933,,,,, 10
1576,0.5,1016.7786668636286,3.0,1056.790105328364,,,,, 30
1581,0.5,1870.014156709378,1.5,1815.1210692352513,,,,,  6
1582,0.8,1228.2194962666015,3.0,1191.4342870106414,,,,,201
1585,1.2,1041.0517511100472,4.5,1038.8660552182653,,,,,  9
1587,1.0,1170.9718024414428,2.0,1190.8566855711979,,,,,  8
1588,0.5,1170.9718024414428,2.8,1190.8566855711979,,,,,  8
1589,1.0,1042.5697576604264,2.2,1014.5476921460248,,,,, 34
1593,0.2,1870.014156709378,1.5,1815.1210692352513,,,,,  6
1594,1.0,1185.5178516715323,5.0,1138.0191105346855,,,,, 16
1606,0.5,1353.890256508696,2.0,1287.4203518749948,,,,, 99
1607,0.5,1352.922514838855,2.5,1441.0010594994503,,,,,218
1608,0.8,1170.9718024414428,2.2,1190.8566855711979,,,,,  8
1609,1.5,1216.365285980001,5.0,1240.319766827933,,,,, 10
1616,,,3.0,1436.935419659339,2.0,1068.2587331917125,,,234
1619,1.0,1459.857363766927,3.0,1421.4026752658374,3.0,1104.7200027617594,,,257
1621,1.0,1191.1976552265462,2.2,1238.0722390612787,,,,, 21
1622,2.0,949.7916991414554,5.0,989.3076197735427,2.8,1463.2142221322088,,,  1
1623,1.0,1783.9237878951758,5.0,1712.3894758905408,2.0,1279.5066528862674,,,  7
1627,0.5,1365.852711818084,,,1.5,890.69349932281,,,238
1628,0.8,949.7916991414554,2.8,989.3076197735427,,,,,  1
1631,3.8,949.7916991414554,13.5,989.3076197735427,2.5,1463.2142221322088,,,  1
1634,,,3.0,1494.2298460436546,2.0,1116.4639454423773,,, 19
1644,0.5,949.7916991414554,1.8,989.3076197735427,,,,,  1
1651,0.5,1100.5369679217902,2.0,1128.9822561429787,1.0,1142.5976465233439,,, 20
1652,,,2.0,1815.6828612027005,1.2,1406.8016229228533,,, 29
1654,1.0,1216.365285980001,3.0,1240.319766827933,,,,, 10
1655,1.0,1041.0517511100472,3.0,1038.8660552182653,,,,,  9
1662,,,1.5,1586.2398196116296,1.0,1189.8419990805705,,, 32
1667,0.5,1042.5697576604264,1.0,1014.5476921460248,0.5,1065.509458309826,,, 34
1668,0.5,1845.5814699364403,2.0,1756.729792573078,1.0,1327.5777366397256,,,114
1669,0.5,1868.980093986746,1.2,1809.7652698140805,1.0,1344.8221404248072,,, 25
1672,1.5,1170.9718024414428,1.0,1190.8566855711979,,,,,  8
1676,0.9,1170.9718024414428,1.0,1190.8566855711979,,,,,  8
1679,0.5,1170.9718024414428,1.0,1190.8566855711979,,,,,  8
1685,1.4,1170.9718024414428,3.5,1190.8566855711979,1.0,1549.27341927681,,,  8
1689,1.0,1185.5178516715323,3.0,1138.0191105346855,1.5,1082.419757480578,,, 16
1690,,,3.0,1362.6065376695578,2.0,1122.6269491669798,,, 27
1697,,,1.0,2411.0273868911204,0.8,2156.5309135277057,,, 33
1699,0.6,1216.365285980001,1.0,1240.319766827933,0.3,1697.7076657362206,,, 10
1701,0.75,1383.1350924655385,2.2,1340.574717701384,1.0,1241.4974617770922,,, 11
1704,0.5,1352.922514838855,2.1,1441.0010594994503,,,,,218
1705,1.0,1170.9718024414428,2.6,1190.8566855711979,,,,,  8
1708,0.8,1870.014156709378,2.5,1815.1210692352513,,,,,  6
1710,0.6,1653.8684661678456,2.0,1586.2398196116296,,,,, 32
1711,0.8,1228.2194962666015,2.5,1191.4342870106414,,,,,201
1714,0.8,1514.6089383157887,2.5,1446.5434140342634,,,,, 18
1717,0.6,1352.922514838855,1.5,1441.0010594994503,,,,,218
1718,1.0,1124.2350688820288,2.8,1187.9080342434613,,,,, 49
1719,1.0,1514.6089383157887,3.1,1446.5434140342634,2.0,1073.4525491012207,,, 18
1724,1.0,1268.325516080846,3.5,1234.008885866761,2.5,1142.3802193888548,,, 26
1727,0.8,1604.8130659095275,3.0,1534.238201882201,,,,, 38
1728,1.25,1604.8130659095275,4.0,1534.238201882201,3.0,1300.1131317668458,,, 38
1729,1.25,1870.014156709378,4.0,1815.1210692352513,1.5,1275.6256229829328,,,  6
1730,1.5,1514.6089383157887,5.5,1446.5434140342634,4.0,1073.4525491012207,,, 18
1731,1.0,1669.7516310681183,,,2.0,1128.9791034293028,,, 22
1732,0.6,1642.401153029818,,,2.0,1463.1590418235617,,,203
1734,1.1,1783.9237878951758,5.0,1712.3894758905408,2.0,1279.5066528862674,,,  7
1743,,,2.0,1237.4403696450352,1.0,895.9964926582402,,,223
1750,0.6,1248.2344785321368,2.0,1229.7110577780227,1.0,1067.4246092705469,,, 36
1751,0.9,1554.712768991318,2.0,1494.2298460436546,1.8,1116.4639454423773,,, 19
1753,2.25,949.7916991414554,8.0,989.3076197735427,1.7,1463.2142221322088,,,  1
1755,,,2.0,1421.4026752658374,1.5,1104.7200027617594,,,257
1759,0.5,949.7916991414554,1.5,989.3076197735427,,,,,  1
1773,1.0,1848.3258610224625,3.0,1815.6828612027005,2.0,1406.8016229228533,,, 29
1776,,,2.0,1756.729792573078,1.0,1327.5777366397256,,,114
1779,1.5,1041.0517511100472,3.0,1038.8660552182653,,,,,  9
1782,1.0,1042.5697576604264,2.0,1014.5476921460248,1.0,1065.509458309826,,, 34
1783,0.8,1653.8684661678456,1.5,1586.2398196116296,2.0,1189.8419990805705,,, 32
1786,1.1,1868.980093986746,4.0,1809.7652698140805,2.8,1344.8221404248072,,, 25
1793,1.0,1185.5178516715323,4.0,1138.0191105346855,1.5,1082.419757480578,,, 16
1796,1.5,1170.9718024414428,4.0,1190.8566855711979,1.0,1549.27341927681,,,  8
1799,,,4.0,1362.6065376695578,3.0,1122.6269491669798,,, 27
1805,0.3,1185.5178516715323,1.2,1138.0191105346855,,,,, 16
1807,1.0,1202.5217589968404,3.0,1152.1176029935252,1.2,1087.9594295975714,,,243
1808,0.5,2454.542334369667,1.5,2411.0273868911204,1.5,2156.5309135277057,,, 33
1812,1.0,1383.1350924655385,2.0,1340.574717701384,2.0,1241.4974617770922,,, 11
1818,0.5,1352.922514838855,2.6,1441.0010594994503,,,,,218
1821,1.5,1216.365285980001,6.0,1240.319766827933,1.2,1697.7076657362206,,, 10
1826,0.3,1297.1589884418477,1.8,1214.2137658622157,,,,,230
1827,1.0,1170.9718024414428,2.8,1190.8566855711979,,,,,  8
1831,0.5,1228.2194962666015,2.0,1191.4342870106414,,,,,201
1836,1.0,1268.325516080846,4.0,1234.008885866761,2.0,1142.3802193888548,,, 26
1839,0.5,1514.6089383157887,2.5,1446.5434140342634,1.0,1073.4525491012207,,, 18
