,Year,DOY,StartTime,StopTime,A1112Amp,A14Amp,A15Amp,A16Amp,Availability,Quality,Comments,EventType,DeepClass,2004Class
0,69,208,2348,40.0,3.1,,,,,5,11Z AMLPITUDE,M,,
1,69,209,1146,1215.0,1.8,,,,,5,11Z AMPLITUDE,C,,
2,69,209,1349,1430.0,3.7,,,,,5,11Z AMPLITUDE  SP,A,00,
3,69,210,1318,1415.0,1.9,,,,,5,11Z AMPLITUDE,C,,
4,69,214,1720,1810.0,1.9,,,,,5,11Z AMPLITUDE,C,,
5,69,233,1858,2000.0,5.0,,,,,5,11Z AMPLITUDE,C,,
6,69,235,9,45.0,1.6,,,,,5,11Z AMPLITUDE,,,
7,69,236,618,720.0,5.1,,,,,5,11Z AMPLITUDE,M,,
8,69,237,30,115.0,4.0,,,,,5,11Z AMPLITUDE  SP,A,00,
9,69,324,2217,2322.0,30.0,,,,2,5,12 LM IMP,L,,
10,69,328,751,815.0,1.0,,,,2,,,,,
11,69,331,318,331.0,1.0,,,,2,,,,,
12,69,332,339,,-1.0,,,,,,,,,A 10
13,69,332,1002,1025.0,1.5,,,,2,,,C,,
14,69,333,910,933.0,1.0,,,,2,,,,,A208
15,69,333,1155,1210.0,1.5,,,,2,,,A,09,A  9
16,69,334,324,354.0,1.5,,,,2,,,A,02,A  2
17,69,334,628,643.0,1.5,,,,2,,,A,08,A 13
18,69,334,1148,1202.0,1.0,,,,2,,,,,
19,69,334,1915,1924.0,1.0,,,,2,,,,,A 10
20,69,335,102,116.0,1.0,,,,2,,,A,12,A 12
21,69,335,528,612.0,2.5,,,,2,,,C,,
22,69,335,652,705.0,1.0,,,,2,,,,,A216
23,69,335,1052,1118.0,1.5,,,,2,,,M,,A  1
24,69,336,4,22.0,2.0,,,,2,,T?,,,A 13
25,69,336,243,252.0,1.0,,,,2,6,,,,A206
26,69,336,1355,1445.0,2.5,,,,2,6,,C,,
27,69,339,1729,1743.0,1.0,,,,2,,,,,A303
28,69,340,2033,2058.0,1.0,,,,2,6,,,,A  4
29,69,342,144,229.0,2.0,,,,2,,,C,,
30,69,342,813,830.0,0.5,,,,2,,,,,
31,69,343,1903,1918.0,1.0,,,,2,,,,,A305
32,69,344,1443,,-1.0,,,,,,,,,A 14
33,69,344,2132,2233.0,8.0,,,,2,,,A,01,
34,69,345,201,213.0,0.5,,,,2,,,,,A  7
35,69,345,403,418.0,0.5,,,,2,,,,,A 22
36,69,345,1055,1104.0,0.5,,,,2,,T?,,,
37,69,345,1905,1922.0,1.0,,,,2,,,,,
38,69,346,154,221.0,1.5,,,,2,,,A,06,A  6
39,69,346,820,,-1.0,,,,,,,,,A  1
40,69,346,1846,1910.0,1.0,,,,2,,,,,
41,69,347,322,355.0,1.0,,,,2,,,,,
42,69,347,721,9999.0,1.0,,,,2,,,A,01,A  1
43,69,347,740,804.0,2.0,,,,2,,,A,05,A  5
44,69,347,1457,1520.0,1.0,,,,2,,,,,
45,69,347,1854,1908.0,0.5,,,,2,,,,,A  3
46,69,347,2229,2255.0,0.5,,,,2,,,,,
47,69,348,213,305.0,0.5,,,,2,,,,,
48,69,348,230,,-1.0,,,,,,,,,A  1
49,69,348,433,455.0,1.0,,,,2,,,,,
50,69,348,903,921.0,3.0,,,,2,,,C,,
51,69,348,2218,2240.0,1.0,,,,2,,,,,A  1
52,69,348,2344,2358.0,1.0,,,,2,,,,,
53,69,349,1322,1349.0,0.5,,,,,,,,,
54,69,350,27,50.0,6.5,,,,2,,,C,,
55,69,352,314,,-1.0,,,,,,,,,A 20
56,69,355,31,105.0,1.5,,,,2,,,,,
57,69,357,412,433.0,1.0,,,,2,,,,,
58,69,357,2221,2240.0,3.0,,,,2,,,C,,
59,69,360,1914,1925.0,1.5,,,,2,,,,,A  9
60,69,360,2227,2248.0,2.5,,,,2,,,C,,
61,69,361,904,930.0,1.0,,,,2,,,A,10,A 10
62,69,361,1340,1408.0,2.0,,,,2,,,A,08,A  8
63,69,361,2132,2208.0,3.0,,,,2,,,C,,
64,69,362,241,303.0,2.0,,,,2,,,A,02,A  2
65,69,362,705,735.0,0.5,,,,2,,T?,,,
66,69,362,745,815.0,0.5,,,,2,,T?,,,A208
67,69,362,850,925.0,1.0,,,,2,,T?,,,A 38
68,69,362,1127,1142.0,1.5,,,,2,,,A,12,A 12
69,69,363,242,300.0,1.0,,,,2,,,M,,A  1
70,69,363,2235,2252.0,1.0,,,,2,,,M,,A 13
71,70,1,140,210.0,2.0,,,,2,,,,,A206
72,70,2,220,230.0,6.5,,,,2,,,C,,
73,70,2,2118,2140.0,1.0,,,,2,,,,,A  6
74,70,3,908,915.0,1.0,,,,2,,,,,A303
75,70,3,1125,1152.0,1.0,,,,2,,,,,
76,70,3,1242,1320.0,1.5,,,,2,,,,,A  6
77,70,3,1624,1715.0,3.0,,,,2,,,C,,
78,70,4,1120,1130.0,0.5,,,,2,,,,,
79,70,4,1154,1203.0,1.0,,,,2,,,,,A217
80,70,4,1603,1620.0,2.0,,,,2,,,A,04,A  4
81,70,4,2105,2125.0,1.0,,,,2,,,,,A224
82,70,6,353,403.0,1.0,,,,2,,,,,
83,70,6,1328,1420.0,4.0,,,,2,,,A,01,A  1
84,70,6,2158,2215.0,1.5,,,,2,,,,,A305
85,70,7,204,225.0,1.0,,,,2,,,,,A 86
86,70,7,910,1000.0,1.5,,,,2,,T?,,,
87,70,7,1108,1122.0,1.0,,,,2,,,,,
88,70,8,49,105.0,1.0,,,,2,,,,,A  1
89,70,8,440,510.0,1.0,,,,2,,,A,07,A  7
90,70,8,1249,1320.0,1.5,,,,2,,,A,63,A 22
91,70,8,1640,1704.0,1.5,,,,2,,,A,05,A  5
92,70,9,108,132.0,1.0,,,,2,,,,,A202
93,70,9,203,252.0,3.5,,,,2,,,A,01,A  1
94,70,9,649,713.0,2.0,,,,2,,,A,03,A  3
95,70,9,732,752.0,1.0,,,,2,,,A,06,A  6
96,70,10,409,433.0,3.0,,,,2,6,,A,05,A  5
97,70,10,654,710.0,1.0,,,,2,,,,,A218
98,70,10,2306,2341.0,2.0,,,,2,,,A,01,A  1
99,70,11,239,330.0,1.0,,,,2,,,,,A  6
100,70,12,35,55.0,1.0,,,,2,,,,,
101,70,12,1241,1250.0,0.5,,,,2,,,M,,A213
102,70,15,439,512.0,1.0,,,,2,,,,,
103,70,19,2025,2152.0,10.0,,,,2,,,C,,
104,70,20,1515,1550.0,1.0,,,,,,,,,
105,70,21,455,520.0,1.0,,,,,,,,,A 10
106,70,21,1250,1325.0,1.0,,,,,,,,,A 10
107,70,21,1924,1949.0,1.5,,,,2,,,,,
108,70,22,851,912.0,2.0,,,,2,,,A,02,A  2
109,70,22,1506,1532.0,1.5,,,,2,,,A,09,A  9
110,70,23,2037,2050.0,0.5,,,,2,,,,,
